Year,Adventure,Fantasy,Action,Science Fiction,Family,Thriller,Drama,Romance,Crime,Animation,War,Comedy,Western,Horror,History,Mystery,Music,Documentary
1995,11.11111111111111,3.3333333333333335,20.0,5.555555555555555,3.3333333333333335,13.333333333333334,16.666666666666664,6.666666666666667,6.666666666666667,1.1111111111111112,2.2222222222222223,3.3333333333333335,0.0,1.1111111111111112,3.3333333333333335,2.2222222222222223,0.0,0.0
1996,9.30232558139535,5.426356589147287,12.4031007751938,6.976744186046512,5.426356589147287,15.503875968992247,18.6046511627907,3.875968992248062,4.651162790697675,2.3255813953488373,0.7751937984496124,8.527131782945736,0.0,1.550387596899225,0.7751937984496124,3.10077519379845,0.7751937984496124,0.0
1997,10.493827160493826,2.4691358024691357,14.814814814814813,7.4074074074074066,2.4691358024691357,19.1358024691358,11.728395061728394,4.938271604938271,8.024691358024691,1.2345679012345678,0.0,5.555555555555555,0.0,3.7037037037037033,1.2345679012345678,6.790123456790123,0.0,0.0
1998,10.638297872340425,5.673758865248227,12.056737588652481,7.092198581560284,5.673758865248227,10.638297872340425,12.76595744680851,5.673758865248227,5.673758865248227,3.546099290780142,2.127659574468085,8.51063829787234,0.0,3.546099290780142,1.4184397163120568,4.25531914893617,0.7092198581560284,0.0
1999,5.88235294117647,5.294117647058823,10.0,7.0588235294117645,4.117647058823529,9.411764705882353,16.470588235294116,6.470588235294119,6.470588235294119,2.941176470588235,1.1764705882352942,12.352941176470589,1.1764705882352942,2.3529411764705883,0.5882352941176471,7.647058823529412,0.5882352941176471,0.0
2000,10.493827160493826,4.320987654320987,12.962962962962962,7.4074074074074066,6.172839506172839,10.493827160493826,12.962962962962962,5.555555555555555,4.938271604938271,3.7037037037037033,2.4691358024691357,12.345679012345679,0.6172839506172839,1.8518518518518516,1.2345679012345678,1.2345679012345678,1.2345679012345678,0.0
2001,8.629441624365482,4.060913705583756,15.228426395939088,4.568527918781726,4.568527918781726,13.19796954314721,10.65989847715736,8.121827411167512,8.629441624365482,3.0456852791878175,2.030456852791878,10.152284263959391,0.5076142131979695,1.015228426395939,1.5228426395939088,2.5380710659898478,1.015228426395939,0.5076142131979695
2002,10.550458715596331,4.587155963302752,13.302752293577983,4.587155963302752,4.128440366972478,14.220183486238533,13.302752293577983,3.669724770642202,7.339449541284404,2.293577981651376,2.293577981651376,9.174311926605505,0.45871559633027525,2.7522935779816518,1.834862385321101,5.045871559633028,0.45871559633027525,0.0
2003,10.81081081081081,5.405405405405405,16.216216216216218,6.486486486486487,3.783783783783784,14.054054054054054,10.27027027027027,3.783783783783784,5.9459459459459465,1.6216216216216217,1.6216216216216217,13.513513513513514,0.5405405405405406,1.6216216216216217,1.6216216216216217,2.1621621621621623,0.5405405405405406,0.0
2004,11.165048543689322,3.8834951456310676,13.106796116504855,5.339805825242718,5.339805825242718,9.70873786407767,11.650485436893204,6.796116504854369,5.339805825242718,2.912621359223301,1.9417475728155338,13.106796116504855,0.9708737864077669,2.4271844660194173,1.4563106796116505,3.8834951456310676,0.9708737864077669,0.0
2005,10.909090909090908,5.454545454545454,11.818181818181818,5.0,7.727272727272727,9.090909090909092,12.272727272727273,6.363636363636363,5.909090909090909,2.272727272727273,1.3636363636363635,13.18181818181818,0.0,2.727272727272727,2.272727272727273,2.727272727272727,0.9090909090909091,0.0
