Title,Revenue
Australia,49554002
The Black Dahlia,49111202
On Deadly Ground,49000000
The Avengers,48585416
Magnolia,48451803
Malcolm X,48169908
G.I. Jane,48169156
The Preacher's Wife,48093211
Man on the Moon,47434430
The Rescuers Down Under,47431461
Almost Famous,47383689
Last Man Standing,47267001
Practical Magic,46683377
Torque,46546197
Fantastic Mr. Fox,46471023
Get Rich or Die Tryin',46442528
The Rainmaker,45916769
RoboCop 2,45681173
Queen of the Damned,45479110
Push,45465299
The Negotiator,44547681
Into the Blue,44434439
A Man Apart,44350926
Astro Boy,44091067
Timeline,43935763
Welcome Home Roscoe Jenkins,43650785
We Are Marshall,43545364
Reign of Fire,43061982
Basic,42792561
Bangkok Dangerous,42487390
Lady in the Water,42285169
Escape from L.A.,42277365
Oliver Twist,42093706
A Good Year,42064105
Donnie Brasco,41954997
The Love Guru,41819064
Aliens vs Predator: Requiem,41797066
Ronin,41610884
Gremlins 2: The New Batch,41482207
Pinocchio,41323171
Leatherheads,41299492
Gamer,40828540
Blast from the Past,40263020
Bridget Jones: The Edge of Reason,40203020
I Still Know What You Did Last Summer,40002112
The Legend of Bagger Vance,39459427
The Spirit,39031337
The Life of David Gale,38955598
Serenity,38869464
The Wicker Man,38755073
Basic Instinct 2,38629478
Last Holiday,38399961
Quest for Camelot,38172500
Happily N'Ever After,38085778
The Producers,38058335
Howard the Duck,37962774
The Wild,37384046
The Majestic,37317558
Psycho,37141130
Junior,37000000
The Bachelor,36911617
My Favorite Martian,36850101
Bounce,36779296
Titan A.E.,36754634
The Boat That Rocked,36348784
Jersey Girl,36098382
Hanging Up,36037909
Riding in Cars with Boys,35743308
Money Train,35431113
Original Sin,35402320
The Bad News Bears,35323292
K-19: The Widowmaker,35168966
The Adventures of Rocky & Bullwinkle,35134820
The Life Aquatic with Steve Zissou,34808403
Thirteen Days,34566746
The Doors,34416893
The Hunted,34234008
The Relic,33956608
Stuck on You,33828318
I Spy,33561137
Red Planet,33463969
Matilda,33459416
Untraceable,32483410
Hart's War,32287044
The Age of Innocence,32255440
Reindeer Games,32168970
Sunshine,32017803
Metro,31987563
1941,31755742
The Soloist,31720158
Rent,31670620
For Richer or Poorer,31611225
Dune,30925690
Pathfinder,30822861
Two for the Money,30526509
Assassins,30303072
The Art of War,30199105
Solaris,30002758
Pulse,29907685
The Four Feathers,29882645
Mystery Men,29762011
Angel Eyes,29700000
The Pledge,29400000
The Out-of-Towners,29000000
Shorts,28972508
James and the Giant Peach,28921264
Thunderbirds,28283637
Cirque du Freak: The Vampire's Assistant,28169671
The Deep End of the Ocean,28121100
The Last Castle,27642707
The Young Victoria,27409889
Flash Gordon,27107960
The Musketeer,27053815
Shoot 'Em Up,26820641
Event Horizon,26673242
Sinbad: Legend of the Seven Seas,26288320
Blood Work,26199517
The Whole Ten Yards,26155781
The Cotton Club,25928721
Superhero Movie,25871834
The Alamo,25819961
The Last Legion,25303038
North Country,25224242
Twisted,25195000
Midnight in the Garden of Good and Evil,25105255
Wyatt Earp,25052000
Renaissance Man,24332324
Lord of War,24127895
Stormbreaker,23937870
Santa Claus: The Movie,23717291
Oscar,23562716
For the Boys,23202444
The Iron Giant,23159305
Domino,22944502
The Chamber,22540359
City By The Sea,22433915
Empire of the Sun,22238696
Little Black Book,22034832
The Inhabited Island,21834845
Battlefield Earth,21400000
Intersection,21355893
Flight of the Phoenix,21009180
Super Mario Bros.,20915465
The Adventures of Ford Fairlane,20423389
Showgirls,20350754
The People vs. Larry Flynt,20300385
Down with Love,20298207
Winged Migration,20217080
Ballistic: Ecks vs. Sever,19924033
Hard Rain,19870567
Color of Night,19726050
Summer Catch,19693891
The Astronaut's Wife,19598588
Valiant,19478106
Get Carter,19412993
Duplex,19322135
Cursed,19294901
Amelia,19258519
Species II,19165560
FearDotCom,18902015
3000 Miles to Graceland,18720175
Geronimo: An American Legend,18635620
Paradise,18634643
The Fan,18626419
Walk Hard: The Dewey Cox Story,18317151
City of Ember,17869048
Flyboys,17800000
The Postman,17626234
Extreme Measures,17380126
The Phantom,17300889
Hudson Hawk,17218080
Rock Star,16991902
Life or Something Like It,16872671
Femme Fatale,16838910
Rebound,16809014
Baby's Day Out,16671505
Terminal Velocity,16478900
Fire Down Below,16000000
The Bonfire of the Vanities,15691192
The Fountain,15304890
Dungeons & Dragons,15185241
The Invasion,15071514
The Horseman on the Roof,15000000
Supernova,14828081
Surviving Christmas,14793624
Freedomland,14655628
Soldier,14567883
Ishtar,14375181
Awake,14373825
Memoirs of an Invisible Man,14358033
Supergirl,14296438
Virus,14010690
Nixon,13681765
American Outlaws,13678913
Osmosis Jones,13596911
Alfie,13395939
The Mod Squad,13260050
Sphere,13100000
Gods and Generals,12923936
Street Fighter: The Legend of Chun-Li,12764201
Gattaca,12532777
Zoom,12506188
Mary Reilly,12379402
Enemy Mine,12303411
Whiteout,12206028
The Order,11560806
Fair Game,11534477
Turbulence,11466088
Chill Factor,11263966
Deep Rising,11203026
Extreme Ops,10959475
Universal Soldier: The Return,10667893
Mad City,10541523
Bandidas,10496317
The Scarlet Letter,10382407
White Squall,10300000
The Great Raid,10166502
Cutthroat Island,10017322
Jade,9851610
The Express,9793496
The Swan Princess,9771658
All the King's Men,9450897
Goya's Ghosts,9448082
Miracle at St. Anna,9323833
Havana,9243140
Big Trouble,8493890
Nothing but Trouble,8479793
Stay,8342132
Christopher Columbus: The Discovery,8251071
The Adventures of Baron Munchausen,8083123
Strange Days,7959291
The Children of Huang Shi,7400000
Gigli,7266209
1492: Conquest of Paradise,7191399
The Adventures of Pluto Nash,7103973
Outlander,7033683
The Big Bounce,6808550
Against the Ropes,6614280
Switchback,6482195
D-Tox,6416302
A Sound of Thunder,5989640
Black Gold,5446000
Virgin Territory,5410749
Monkeybone,5409517
Little Buddha,4858139
Radio Flyer,4651977
Love in the Time of Cholera,4607608
Heaven's Gate,3484331
Isn't She Great,3003296
Shadow Conspiracy,2154540
Pirates,1641825
At Play in the Fields of the Lord,1345903
Lolita,1060056
Anna Karenina,791830
Metropolis,650422
Ride with the Devil,635096
