Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Home on the Range,Animation,0,0,0,0,0,0,0,0,0,-6048539,-6048539
Around the World in 80 Days,Action,0,0,0,0,0,0,0,0,0,-37821105,-37821105
Ocean's Twelve,Thriller,0,0,0,0,0,0,0,0,0,252744280,252744280
Mr. & Mrs. Smith,Action,0,0,0,0,0,0,0,0,0,0,368207520
Ali,Drama,0,0,0,0,0,0,-19286175,-19286175,-19286175,-19286175,-19286175
Starship Troopers,Adventure,0,0,16214377,16214377,16214377,16214377,16214377,16214377,16214377,16214377,16214377
The Chronicles of Riddick,Action,0,0,0,0,0,0,0,0,0,10772733,10772733
Gladiator,Action,0,0,0,0,0,354640427,354640427,354640427,354640427,354640427,354640427
Swordfish,Action,0,0,0,0,0,0,45080413,45080413,45080413,45080413,45080413
Minority Report,Action,0,0,0,0,0,0,0,256372926,256372926,256372926,256372926
Batman Forever,Action,236529144,236529144,236529144,236529144,236529144,236529144,236529144,236529144,236529144,236529144,236529144
The Hunchback of Notre Dame,Drama,0,138851,138851,138851,138851,138851,138851,138851,138851,138851,138851
Eraser,Action,0,142295562,142295562,142295562,142295562,142295562,142295562,142295562,142295562,142295562,142295562
Sleepy Hollow,Drama,0,0,0,0,106071502,106071502,106071502,106071502,106071502,106071502,106071502
End of Days,Action,0,0,0,0,111989043,111989043,111989043,111989043,111989043,111989043,111989043
Bicentennial Man,Comedy,0,0,0,0,-6300000,-6300000,-6300000,-6300000,-6300000,-6300000,-6300000
What Lies Beneath,Drama,0,0,0,0,0,55464351,55464351,55464351,55464351,55464351,55464351
The Emperor's New Groove,Adventure,0,0,0,0,0,69327687,69327687,69327687,69327687,69327687,69327687
A.I. Artificial Intelligence,Drama,0,0,0,0,0,0,135926552,135926552,135926552,135926552,135926552
Planet of the Apes,Thriller,0,0,0,0,0,0,262211740,262211740,262211740,262211740,262211740
K-19: The Widowmaker,Drama,0,0,0,0,0,0,0,-64831034,-64831034,-64831034,-64831034
The Adventures of Pluto Nash,Action,0,0,0,0,0,0,0,-92896027,-92896027,-92896027,-92896027
Harry Potter and the Chamber of Secrets,Adventure,0,0,0,0,0,0,0,776688482,776688482,776688482,776688482
Gangs of New York,Drama,0,0,0,0,0,0,0,93772504,93772504,93772504,93772504
Peter Pan,Adventure,0,0,0,0,0,0,0,0,21975011,21975011,21975011
Hidalgo,Western,0,0,0,0,0,0,0,0,0,8103450,8103450
Catwoman,Action,0,0,0,0,0,0,0,0,0,-17897621,-17897621
National Treasure,Adventure,0,0,0,0,0,0,0,0,0,247451894,247451894
Constantine,Drama,0,0,0,0,0,0,0,0,0,0,130884728
Fantastic Four,Action,0,0,0,0,0,0,0,0,0,0,230579719
Fun with Dick and Jane,Comedy,0,0,0,0,0,0,0,0,0,0,102026112
Cutthroat Island,Action,-87982678,-87982678,-87982678,-87982678,-87982678,-87982678,-87982678,-87982678,-87982678,-87982678,-87982678
The Mummy Returns,Adventure,0,0,0,0,0,0,335013274,335013274,335013274,335013274,335013274
The Mask of Zorro,Action,0,0,0,155288523,155288523,155288523,155288523,155288523,155288523,155288523,155288523
The Road to El Dorado,Adventure,0,0,0,0,0,-18567273,-18567273,-18567273,-18567273,-18567273,-18567273
