Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Fight Club,Drama,0,0,0,0,37853753,37853753,37853753,37853753,37853753,37853753,37853753
Austin Powers in Goldmember,Comedy,0,0,0,0,0,0,0,233655431,233655431,233655431,233655431
The American President,Comedy,45879496,45879496,45879496,45879496,45879496,45879496,45879496,45879496,45879496,45879496,45879496
Lolita,Drama,0,0,-60939944,-60939944,-60939944,-60939944,-60939944,-60939944,-60939944,-60939944,-60939944
U-571,Action,0,0,0,0,0,65666415,65666415,65666415,65666415,65666415,65666415
3000 Miles to Graceland,Action,0,0,0,0,0,0,-43279825,-43279825,-43279825,-43279825,-43279825
Matchstick Men,Comedy,0,0,0,0,0,0,0,0,3565672,3565672,3565672
Æon Flux,Action,0,0,0,0,0,0,0,0,0,0,-9695999
Heat,Action,127436818,127436818,127436818,127436818,127436818,127436818,127436818,127436818,127436818,127436818,127436818
Money Train,Action,-24568887,-24568887,-24568887,-24568887,-24568887,-24568887,-24568887,-24568887,-24568887,-24568887,-24568887
Under Siege 2: Dark Territory,Action,44324083,44324083,44324083,44324083,44324083,44324083,44324083,44324083,44324083,44324083,44324083
The Relic,Horror,0,0,-26043392,-26043392,-26043392,-26043392,-26043392,-26043392,-26043392,-26043392,-26043392
Jingle All the Way,Family,0,69832389,69832389,69832389,69832389,69832389,69832389,69832389,69832389,69832389,69832389
Event Horizon,Horror,0,0,-33326758,-33326758,-33326758,-33326758,-33326758,-33326758,-33326758,-33326758,-33326758
Fire Down Below,Action,0,0,-44000000,-44000000,-44000000,-44000000,-44000000,-44000000,-44000000,-44000000,-44000000
The Truman Show,Comedy,0,0,0,204118201,204118201,204118201,204118201,204118201,204118201,204118201,204118201
The Jackal,Action,0,0,99330280,99330280,99330280,99330280,99330280,99330280,99330280,99330280,99330280
The Horse Whisperer,Drama,0,0,0,126883563,126883563,126883563,126883563,126883563,126883563,126883563,126883563
U.S. Marshals,Thriller,0,0,0,42367405,42367405,42367405,42367405,42367405,42367405,42367405,42367405
A Perfect Murder,Crime,0,0,0,68038368,68038368,68038368,68038368,68038368,68038368,68038368,68038368
The Avengers,Thriller,0,0,0,-11414584,-11414584,-11414584,-11414584,-11414584,-11414584,-11414584,-11414584
Antz,Adventure,0,0,0,111757863,111757863,111757863,111757863,111757863,111757863,111757863,111757863
Psycho,Horror,0,0,0,-22858870,-22858870,-22858870,-22858870,-22858870,-22858870,-22858870,-22858870
The General's Daughter,Crime,0,0,0,0,89705852,89705852,89705852,89705852,89705852,89705852,89705852
Deep Blue Sea,Action,0,0,0,0,13648228,13648228,13648228,13648228,13648228,13648228,13648228
The Messenger: The Story of Joan of Arc,Adventure,0,0,0,0,6976317,6976317,6976317,6976317,6976317,6976317,6976317
The Green Mile,Fantasy,0,0,0,0,224600000,224600000,224600000,224600000,224600000,224600000,224600000
Rules of Engagement,Action,0,0,0,0,0,11000000,11000000,11000000,11000000,11000000,11000000
Almost Famous,Drama,0,0,0,0,0,-12616311,-12616311,-12616311,-12616311,-12616311,-12616311
15 Minutes,Action,0,0,0,0,0,0,-3640020,-3640020,-3640020,-3640020,-3640020
Along Came a Spider,Crime,0,0,0,0,0,0,45178561,45178561,45178561,45178561,45178561
Shrek,Adventure,0,0,0,0,0,0,424409218,424409218,424409218,424409218,424409218
Cats & Dogs,Comedy,0,0,0,0,0,0,33375151,33375151,33375151,33375151,33375151
A Beautiful Mind,Drama,0,0,0,0,0,0,253542341,253542341,253542341,253542341,253542341
Dragonfly,Drama,0,0,0,0,0,0,0,-7677600,-7677600,-7677600,-7677600
The Scorpion King,Action,0,0,0,0,0,0,0,105333180,105333180,105333180,105333180
The Bourne Identity,Action,0,0,0,0,0,0,0,154034224,154034224,154034224,154034224
Reign of Fire,Adventure,0,0,0,0,0,0,0,-16938018,-16938018,-16938018,-16938018
Analyze That,Comedy,0,0,0,0,0,0,0,-4996865,-4996865,-4996865,-4996865
Star Trek: Nemesis,Science Fiction,0,0,0,0,0,0,0,7312826,7312826,7312826,7312826
Two Weeks Notice,Comedy,0,0,0,0,0,0,0,33354918,33354918,33354918,33354918
The Core,Action,0,0,0,0,0,0,0,0,14208267,14208267,14208267
Daddy Day Care,Comedy,0,0,0,0,0,0,0,0,104433867,104433867,104433867
The Italian Job,Action,0,0,0,0,0,0,0,0,116070171,116070171,116070171
Sinbad: Legend of the Seven Seas,Family,0,0,0,0,0,0,0,0,-33711680,-33711680,-33711680
Intolerable Cruelty,Crime,0,0,0,0,0,0,0,0,59940815,59940815,59940815
Runaway Jury,Drama,0,0,0,0,0,0,0,0,20154140,20154140,20154140
Paycheck,Action,0,0,0,0,0,0,0,0,36269812,36269812,36269812
Starsky & Hutch,Comedy,0,0,0,0,0,0,0,0,0,110268750,110268750
The Terminal,Comedy,0,0,0,0,0,0,0,0,0,159417255,159417255
The Village,Drama,0,0,0,0,0,0,0,0,0,196697520,196697520
Ladder 49,Drama,0,0,0,0,0,0,0,0,0,14541707,14541707
Alfie,Comedy,0,0,0,0,0,0,0,0,0,-46604061,-46604061
After the Sunset,Action,0,0,0,0,0,0,0,0,0,1347797,1347797
xXx: State of the Union,Action,0,0,0,0,0,0,0,0,0,0,11073932
Doom,Adventure,0,0,0,0,0,0,0,0,0,0,-4012679
Cheaper by the Dozen 2,Comedy,0,0,0,0,0,0,0,0,0,0,69181830
Ice Age,Animation,0,0,0,0,0,0,0,324257136,324257136,324257136,324257136
GoldenEye,Adventure,294194034,294194034,294194034,294194034,294194034,294194034,294194034,294194034,294194034,294194034,294194034
Just Like Heaven,Comedy,0,0,0,0,0,0,0,0,0,0,44854431
DragonHeart,Fantasy,0,58267375,58267375,58267375,58267375,58267375,58267375,58267375,58267375,58267375,58267375
The Devil's Advocate,Drama,0,0,95944660,95944660,95944660,95944660,95944660,95944660,95944660,95944660,95944660
The Mexican,Action,0,0,0,0,0,0,90845033,90845033,90845033,90845033,90845033
Captain Corelli's Mandolin,Drama,0,0,0,0,0,0,5112895,5112895,5112895,5112895,5112895
Rock Star,Music,0,0,0,0,0,0,-40008098,-40008098,-40008098,-40008098,-40008098
Thunderbirds,Action,0,0,0,0,0,0,0,0,0,-28716363,-28716363
Elizabethtown,Comedy,0,0,0,0,0,0,0,0,0,0,-4965111
Gods and Generals,Drama,0,0,0,0,0,0,0,0,-43076064,-43076064,-43076064
Walking Tall,Adventure,0,0,0,0,0,0,0,0,0,1223890,1223890
The Pacifier,Action,0,0,0,0,0,0,0,0,0,0,57006880
Pocahontas,Adventure,291079773,291079773,291079773,291079773,291079773,291079773,291079773,291079773,291079773,291079773,291079773
First Knight,Action,72600435,72600435,72600435,72600435,72600435,72600435,72600435,72600435,72600435,72600435,72600435
Executive Decision,Action,0,66969216,66969216,66969216,66969216,66969216,66969216,66969216,66969216,66969216,66969216
The Fan,Drama,0,-36373581,-36373581,-36373581,-36373581,-36373581,-36373581,-36373581,-36373581,-36373581,-36373581
Evita,History,0,86047179,86047179,86047179,86047179,86047179,86047179,86047179,86047179,86047179,86047179
Turbulence,Action,0,0,-43533912,-43533912,-43533912,-43533912,-43533912,-43533912,-43533912,-43533912,-43533912
Metro,Action,0,0,-23012437,-23012437,-23012437,-23012437,-23012437,-23012437,-23012437,-23012437,-23012437
City of Angels,Drama,0,0,0,143685114,143685114,143685114,143685114,143685114,143685114,143685114,143685114
Ronin,Action,0,0,0,-13389116,-13389116,-13389116,-13389116,-13389116,-13389116,-13389116,-13389116
Any Given Sunday,Drama,0,0,0,0,45230832,45230832,45230832,45230832,45230832,45230832,45230832
Shanghai Noon,Adventure,0,0,0,0,0,1932305,1932305,1932305,1932305,1932305,1932305
Meet the Parents,Comedy,0,0,0,0,0,275444045,275444045,275444045,275444045,275444045,275444045
Maid in Manhattan,Comedy,0,0,0,0,0,0,0,99906693,99906693,99906693,99906693
The Hunted,Drama,0,0,0,0,0,0,0,0,-20765992,-20765992,-20765992
American Wedding,Comedy,0,0,0,0,0,0,0,0,176449203,176449203,176449203
Stuck on You,Comedy,0,0,0,0,0,0,0,0,-21171682,-21171682,-21171682
D-Tox,Action,0,0,0,0,0,0,0,-48583698,-48583698,-48583698,-48583698
Flightplan,Thriller,0,0,0,0,0,0,0,0,0,0,168387299
The Nutty Professor,Fantasy,0,74769345,74769345,74769345,74769345,74769345,74769345,74769345,74769345,74769345,74769345
101 Dalmatians,Comedy,0,266689294,266689294,266689294,266689294,266689294,266689294,266689294,266689294,266689294,266689294
Blade II,Fantasy,0,0,0,0,0,0,0,101010032,101010032,101010032,101010032
Gigli,Drama,0,0,0,0,0,0,0,0,-46733791,-46733791,-46733791
Crimson Tide,Action,104387195,104387195,104387195,104387195,104387195,104387195,104387195,104387195,104387195,104387195,104387195
Anastasia,Animation,0,0,86804348,86804348,86804348,86804348,86804348,86804348,86804348,86804348,86804348
Blow,Crime,0,0,0,0,0,0,30282296,30282296,30282296,30282296,30282296
Angel Eyes,Drama,0,0,0,0,0,0,-23300000,-23300000,-23300000,-23300000,-23300000
Be Cool,Comedy,0,0,0,0,0,0,0,0,0,0,42226116
Moulin Rouge!,Drama,0,0,0,0,0,0,126713434,126713434,126713434,126713434,126713434
Casino,Drama,64112375,64112375,64112375,64112375,64112375,64112375,64112375,64112375,64112375,64112375,64112375
Apollo 13,Drama,303237933,303237933,303237933,303237933,303237933,303237933,303237933,303237933,303237933,303237933,303237933
The Thin Red Line,Drama,0,0,0,46126565,46126565,46126565,46126565,46126565,46126565,46126565,46126565
Erin Brockovich,Drama,0,0,0,0,0,204271286,204271286,204271286,204271286,204271286,204271286
Catch Me If You Can,Drama,0,0,0,0,0,0,0,300114312,300114312,300114312,300114312
Hostage,Mystery,0,0,0,0,0,0,0,0,0,0,25944725
The Bachelor,Comedy,0,0,0,0,-14088383,-14088383,-14088383,-14088383,-14088383,-14088383,-14088383
"Me, Myself & Irene",Comedy,0,0,0,0,0,98270999,98270999,98270999,98270999,98270999,98270999
Assassins,Action,-19696928,-19696928,-19696928,-19696928,-19696928,-19696928,-19696928,-19696928,-19696928,-19696928,-19696928
Fair Game,Action,-38465523,-38465523,-38465523,-38465523,-38465523,-38465523,-38465523,-38465523,-38465523,-38465523,-38465523
Broken Arrow,Action,0,100270147,100270147,100270147,100270147,100270147,100270147,100270147,100270147,100270147,100270147
Jade,Action,-40148390,-40148390,-40148390,-40148390,-40148390,-40148390,-40148390,-40148390,-40148390,-40148390,-40148390
Casper,Fantasy,237928194,237928194,237928194,237928194,237928194,237928194,237928194,237928194,237928194,237928194,237928194
Congo,Action,102022101,102022101,102022101,102022101,102022101,102022101,102022101,102022101,102022101,102022101,102022101
The Scarlet Letter,Drama,-39617593,-39617593,-39617593,-39617593,-39617593,-39617593,-39617593,-39617593,-39617593,-39617593,-39617593
Outbreak,Action,139859560,139859560,139859560,139859560,139859560,139859560,139859560,139859560,139859560,139859560,139859560
Striptease,Drama,0,63309743,63309743,63309743,63309743,63309743,63309743,63309743,63309743,63309743,63309743
Chain Reaction,Action,0,10209334,10209334,10209334,10209334,10209334,10209334,10209334,10209334,10209334,10209334
Escape from L.A.,Action,0,-7722635,-7722635,-7722635,-7722635,-7722635,-7722635,-7722635,-7722635,-7722635,-7722635
The Chamber,Crime,0,-27459641,-27459641,-27459641,-27459641,-27459641,-27459641,-27459641,-27459641,-27459641,-27459641
The Ghost and the Darkness,Adventure,0,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000
Jerry Maguire,Comedy,0,223552592,223552592,223552592,223552592,223552592,223552592,223552592,223552592,223552592,223552592
Absolute Power,Crime,0,0,68310,68310,68310,68310,68310,68310,68310,68310,68310
G.I. Jane,Action,0,0,-1830844,-1830844,-1830844,-1830844,-1830844,-1830844,-1830844,-1830844,-1830844
The Game,Drama,0,0,59423648,59423648,59423648,59423648,59423648,59423648,59423648,59423648,59423648
Mad City,Action,0,0,-39458477,-39458477,-39458477,-39458477,-39458477,-39458477,-39458477,-39458477,-39458477
As Good as It Gets,Comedy,0,0,264178011,264178011,264178011,264178011,264178011,264178011,264178011,264178011,264178011
The Negotiator,Action,0,0,0,-5452319,-5452319,-5452319,-5452319,-5452319,-5452319,-5452319,-5452319
Patch Adams,Comedy,0,0,0,152292902,152292902,152292902,152292902,152292902,152292902,152292902,152292902
The Mod Squad,Action,0,0,0,0,-36739950,-36739950,-36739950,-36739950,-36739950,-36739950,-36739950
The Story of Us,Comedy,0,0,0,0,8900031,8900031,8900031,8900031,8900031,8900031,8900031
The Hurricane,Drama,0,0,0,0,23956241,23956241,23956241,23956241,23956241,23956241,23956241
Exit Wounds,Action,0,0,0,0,0,0,29958599,29958599,29958599,29958599,29958599
Don't Say a Word,Thriller,0,0,0,0,0,0,50020092,50020092,50020092,50020092,50020092
Murder by Numbers,Crime,0,0,0,0,0,0,0,6714147,6714147,6714147,6714147
Unfaithful,Thriller,0,0,0,0,0,0,0,69137784,69137784,69137784,69137784
Mr. Deeds,Comedy,0,0,0,0,0,0,0,121269535,121269535,121269535,121269535
Blood Work,Crime,0,0,0,0,0,0,0,-23800483,-23800483,-23800483,-23800483
How to Lose a Guy in 10 Days,Comedy,0,0,0,0,0,0,0,0,127371441,127371441,127371441
Shanghai Knights,Action,0,0,0,0,0,0,0,0,38323487,38323487,38323487
The Life of David Gale,Drama,0,0,0,0,0,0,0,0,-11044402,-11044402,-11044402
Basic,Action,0,0,0,0,0,0,0,0,-7207439,-7207439,-7207439
Out of Time,Thriller,0,0,0,0,0,0,0,0,5495563,5495563,5495563
The Big Bounce,Comedy,0,0,0,0,0,0,0,0,0,-43191450,-43191450
Twisted,Action,0,0,0,0,0,0,0,0,0,-24805000,-24805000
Raising Helen,Drama,0,0,0,0,0,0,0,0,0,-281389,-281389
Garfield,Animation,0,0,0,0,0,0,0,0,0,150804534,150804534
Shall We Dance?,Drama,0,0,0,0,0,0,0,0,0,120128460,120128460
Bridget Jones: The Edge of Reason,Comedy,0,0,0,0,0,0,0,0,0,-9796980,-9796980
The Ring Two,Drama,0,0,0,0,0,0,0,0,0,0,111451538
The Life Aquatic with Steve Zissou,Adventure,0,0,0,0,0,0,0,0,0,-15191597,-15191597
The Hitchhiker's Guide to the Galaxy,Adventure,0,0,0,0,0,0,0,0,0,0,54478416
The Adventures of Sharkboy and Lavagirl,Adventure,0,0,0,0,0,0,0,0,0,0,19425966
Herbie Fully Loaded,Comedy,0,0,0,0,0,0,0,0,0,0,16002004
The Dukes of Hazzard,Action,0,0,0,0,0,0,0,0,0,0,60803676
Domino,Action,0,0,0,0,0,0,0,0,0,0,-27055498
Oliver Twist,Crime,0,0,0,0,0,0,0,0,0,0,-7906294
Into the Blue,Action,0,0,0,0,0,0,0,0,0,0,-5565561
Stay,Mystery,0,0,0,0,0,0,0,0,0,0,-41657868
Syriana,Drama,0,0,0,0,0,0,0,0,0,0,44000000
The One,Action,0,0,0,0,0,0,23700000,23700000,23700000,23700000,23700000
Out of Sight,Romance,0,0,0,29745568,29745568,29745568,29745568,29745568,29745568,29745568,29745568
The Thomas Crown Affair,Drama,0,0,0,0,76305181,76305181,76305181,76305181,76305181,76305181,76305181
Bedazzled,Fantasy,0,0,0,0,0,42383208,42383208,42383208,42383208,42383208,42383208
Traffic,Thriller,0,0,0,0,0,159515725,159515725,159515725,159515725,159515725,159515725
Rat Race,Adventure,0,0,0,0,0,0,37498534,37498534,37498534,37498534,37498534
Riding in Cars with Boys,Comedy,0,0,0,0,0,0,-12256692,-12256692,-12256692,-12256692,-12256692
K-PAX,Drama,0,0,0,0,0,0,2315140,2315140,2315140,2315140,2315140
Panic Room,Crime,0,0,0,0,0,0,0,148397415,148397415,148397415,148397415
The Ring,Horror,0,0,0,0,0,0,0,201348933,201348933,201348933,201348933
Scary Movie 3,Comedy,0,0,0,0,0,0,0,0,172673217,172673217,172673217
Mary Reilly,Drama,0,-34620598,-34620598,-34620598,-34620598,-34620598,-34620598,-34620598,-34620598,-34620598,-34620598
The Cable Guy,Comedy,0,55825796,55825796,55825796,55825796,55825796,55825796,55825796,55825796,55825796,55825796
Solaris,Drama,0,0,0,0,0,0,0,-16997242,-16997242,-16997242,-16997242
Courage Under Fire,Drama,0,54860818,54860818,54860818,54860818,54860818,54860818,54860818,54860818,54860818,54860818
Star Trek: First Contact,Science Fiction,0,104000000,104000000,104000000,104000000,104000000,104000000,104000000,104000000,104000000,104000000
Shaft,Action,0,0,0,0,0,61196498,61196498,61196498,61196498,61196498,61196498
Insomnia,Crime,0,0,0,0,0,0,0,67714830,67714830,67714830,67714830
Showgirls,Drama,-24649246,-24649246,-24649246,-24649246,-24649246,-24649246,-24649246,-24649246,-24649246,-24649246,-24649246
The Phantom,Adventure,0,-27699111,-27699111,-27699111,-27699111,-27699111,-27699111,-27699111,-27699111,-27699111,-27699111
Jack,Comedy,0,13620973,13620973,13620973,13620973,13620973,13620973,13620973,13620973,13620973,13620973
Tin Cup,Comedy,0,8854588,8854588,8854588,8854588,8854588,8854588,8854588,8854588,8854588,8854588
Shadow Conspiracy,Action,0,0,-42845460,-42845460,-42845460,-42845460,-42845460,-42845460,-42845460,-42845460,-42845460
Liar Liar,Comedy,0,0,257710615,257710615,257710615,257710615,257710615,257710615,257710615,257710615,257710615
Anaconda,Adventure,0,0,91885767,91885767,91885767,91885767,91885767,91885767,91885767,91885767,91885767
Deep Rising,Adventure,0,0,0,-33796974,-33796974,-33796974,-33796974,-33796974,-33796974,-33796974,-33796974
Blade,Horror,0,0,0,86183530,86183530,86183530,86183530,86183530,86183530,86183530,86183530
Universal Soldier: The Return,Action,0,0,0,0,-34332107,-34332107,-34332107,-34332107,-34332107,-34332107,-34332107
Galaxy Quest,Comedy,0,0,0,0,45683916,45683916,45683916,45683916,45683916,45683916,45683916
Chicken Run,Animation,0,0,0,0,0,179834564,179834564,179834564,179834564,179834564,179834564
Coyote Ugly,Comedy,0,0,0,0,0,68916474,68916474,68916474,68916474,68916474,68916474
Miss Congeniality,Comedy,0,0,0,0,0,167000000,167000000,167000000,167000000,167000000,167000000
Scary Movie 2,Comedy,0,0,0,0,0,0,96220678,96220678,96220678,96220678,96220678
Training Day,Action,0,0,0,0,0,0,59876233,59876233,59876233,59876233,59876233
Changing Lanes,Action,0,0,0,0,0,0,0,49935764,49935764,49935764,49935764
Chicago,Action,0,0,0,0,0,0,0,261776732,261776732,261776732,261776732
"Legally Blonde 2: Red, White & Blonde",Comedy,0,0,0,0,0,0,0,0,79914842,79914842,79914842
Taking Lives,Action,0,0,0,0,0,0,0,0,0,20470529,20470529
Resident Evil: Apocalypse,Horror,0,0,0,0,0,0,0,0,0,84394835,84394835
Surviving Christmas,Comedy,0,0,0,0,0,0,0,0,0,-30206376,-30206376
Flight of the Phoenix,Action,0,0,0,0,0,0,0,0,0,-23990820,-23990820
Unleashed,Action,0,0,0,0,0,0,0,0,0,0,5871113
Kicking & Screaming,Romance,0,0,0,0,0,0,0,0,0,0,11070433
Rebound,Comedy,0,0,0,0,0,0,0,0,0,0,-28190986
Four Brothers,Action,0,0,0,0,0,0,0,0,0,0,47374674
"Yours, Mine & Ours",Comedy,0,0,0,0,0,0,0,0,0,0,27028752
The Producers,Comedy,0,0,0,0,0,0,0,0,0,0,-6941665
Nixon,History,-30318235,-30318235,-30318235,-30318235,-30318235,-30318235,-30318235,-30318235,-30318235,-30318235,-30318235
Sleepers,Crime,0,121615285,121615285,121615285,121615285,121615285,121615285,121615285,121615285,121615285,121615285
Battlefield Earth,Action,0,0,0,0,0,-22600000,-22600000,-22600000,-22600000,-22600000,-22600000
Finding Forrester,Drama,0,0,0,0,0,37049764,37049764,37049764,37049764,37049764,37049764
The Sweetest Thing,Romance,0,0,0,0,0,0,0,25696770,25696770,25696770,25696770
Elektra,Action,0,0,0,0,0,0,0,0,0,0,13681566
Monster-in-Law,Romance,0,0,0,0,0,0,0,0,0,0,111749918
The Skeleton Key,Drama,0,0,0,0,0,0,0,0,0,0,48974818
Strange Days,Crime,-34040709,-34040709,-34040709,-34040709,-34040709,-34040709,-34040709,-34040709,-34040709,-34040709,-34040709
Notting Hill,Romance,0,0,0,0,321889678,321889678,321889678,321889678,321889678,321889678,321889678
Reindeer Games,Thriller,0,0,0,0,0,-9831030,-9831030,-9831030,-9831030,-9831030,-9831030
Original Sin,Thriller,0,0,0,0,0,0,-6597680,-6597680,-6597680,-6597680,-6597680
High Crimes,Drama,0,0,0,0,0,0,0,21781810,21781810,21781810,21781810
Along Came Polly,Comedy,0,0,0,0,0,0,0,0,0,129963386,129963386
The Forgotten,Crime,0,0,0,0,0,0,0,0,0,75575636,75575636
Lord of War,Crime,0,0,0,0,0,0,0,0,0,0,-17872105
The Whole Nine Yards,Comedy,0,0,0,0,0,65071651,65071651,65071651,65071651,65071651,65071651
8 Mile,Drama,0,0,0,0,0,0,0,174000000,174000000,174000000,174000000
A Time to Kill,Crime,0,112266007,112266007,112266007,112266007,112266007,112266007,112266007,112266007,112266007,112266007
The Island of Dr. Moreau,Fantasy,0,9627779,9627779,9627779,9627779,9627779,9627779,9627779,9627779,9627779,9627779
The Preacher's Wife,Fantasy,0,8093211,8093211,8093211,8093211,8093211,8093211,8093211,8093211,8093211,8093211
Spawn,Action,0,0,47840042,47840042,47840042,47840042,47840042,47840042,47840042,47840042,47840042
The Rainmaker,Drama,0,0,5916769,5916769,5916769,5916769,5916769,5916769,5916769,5916769,5916769
Quest for Camelot,Fantasy,0,0,0,-1827500,-1827500,-1827500,-1827500,-1827500,-1827500,-1827500,-1827500
Small Soldiers,Comedy,0,0,0,14682547,14682547,14682547,14682547,14682547,14682547,14682547,14682547
8MM,Thriller,0,0,0,0,56618699,56618699,56618699,56618699,56618699,56618699,56618699
The Sixth Sense,Mystery,0,0,0,0,632806292,632806292,632806292,632806292,632806292,632806292,632806292
The Talented Mr. Ripley,Thriller,0,0,0,0,88798265,88798265,88798265,88798265,88798265,88798265,88798265
Scream 3,Horror,0,0,0,0,0,121834276,121834276,121834276,121834276,121834276,121834276
The Beach,Drama,0,0,0,0,0,104056873,104056873,104056873,104056873,104056873,104056873
Hanging Up,Comedy,0,0,0,0,0,-3962091,-3962091,-3962091,-3962091,-3962091,-3962091
The Art of War,Crime,0,0,0,0,0,-9800895,-9800895,-9800895,-9800895,-9800895,-9800895
Pay It Forward,Drama,0,0,0,0,0,15707411,15707411,15707411,15707411,15707411,15707411
Sweet November,Drama,0,0,0,0,0,0,25754228,25754228,25754228,25754228,25754228
The Musketeer,Action,0,0,0,0,0,0,-12946185,-12946185,-12946185,-12946185,-12946185
Big Trouble,Action,0,0,0,0,0,0,0,-31506110,-31506110,-31506110,-31506110
Shallow Hal,Comedy,0,0,0,0,0,0,101069860,101069860,101069860,101069860,101069860
Behind Enemy Lines,Action,0,0,0,0,0,0,51753202,51753202,51753202,51753202,51753202
Life or Something Like It,Comedy,0,0,0,0,0,0,0,-23127329,-23127329,-23127329,-23127329
FearDotCom,Horror,0,0,0,0,0,0,0,-21097985,-21097985,-21097985,-21097985
City By The Sea,Crime,0,0,0,0,0,0,0,-17566085,-17566085,-17566085,-17566085
Extreme Ops,Action,0,0,0,0,0,0,0,-29040525,-29040525,-29040525,-29040525
Pinocchio,Comedy,0,0,0,0,0,0,0,1323171,1323171,1323171,1323171
Johnny English,Adventure,0,0,0,0,0,0,0,0,120583018,120583018,120583018
Duplex,Action,0,0,0,0,0,0,0,0,-20677865,-20677865,-20677865
Love Actually,Comedy,0,0,0,0,0,0,0,0,204931766,204931766,204931766
Gothika,Horror,0,0,0,0,0,0,0,0,101591324,101591324,101591324
Cheaper by the Dozen,Comedy,0,0,0,0,0,0,0,0,150212113,150212113,150212113
Torque,Action,0,0,0,0,0,0,0,0,0,6546197,6546197
Secret Window,Thriller,0,0,0,0,0,0,0,0,0,52913171,52913171
The Whole Ten Yards,Comedy,0,0,0,0,0,0,0,0,0,-13844219,-13844219
The Princess Diaries 2: Royal Engagement,Comedy,0,0,0,0,0,0,0,0,0,55149435,55149435
Ray,Drama,0,0,0,0,0,0,0,0,0,84731534,84731534
Sin City,Action,0,0,0,0,0,0,0,0,0,0,118733820
House of Wax,Horror,0,0,0,0,0,0,0,0,0,0,28766121
Wedding Crashers,Comedy,0,0,0,0,0,0,0,0,0,0,245176741
Corpse Bride,Romance,0,0,0,0,0,0,0,0,0,0,77195061
Get Rich or Die Tryin',Drama,0,0,0,0,0,0,0,0,0,0,6442528
Rent,Drama,0,0,0,0,0,0,0,0,0,0,-8329380
Against the Ropes,Romance,0,0,0,0,0,0,0,0,0,-32385720,-32385720
Serenity,Science Fiction,0,0,0,0,0,0,0,0,0,0,-130536
White Squall,Action,0,-27700000,-27700000,-27700000,-27700000,-27700000,-27700000,-27700000,-27700000,-27700000,-27700000
James and the Giant Peach,Adventure,0,-9078736,-9078736,-9078736,-9078736,-9078736,-9078736,-9078736,-9078736,-9078736,-9078736
Extreme Measures,Drama,0,-20619874,-20619874,-20619874,-20619874,-20619874,-20619874,-20619874,-20619874,-20619874,-20619874
My Best Friend's Wedding,Comedy,0,0,261288605,261288605,261288605,261288605,261288605,261288605,261288605,261288605,261288605
MouseHunt,Comedy,0,0,84417389,84417389,84417389,84417389,84417389,84417389,84417389,84417389,84417389
The Deep End of the Ocean,Drama,0,0,0,0,-9878900,-9878900,-9878900,-9878900,-9878900,-9878900,-9878900
Ride with the Devil,Drama,0,0,0,0,-37364904,-37364904,-37364904,-37364904,-37364904,-37364904,-37364904
The Ninth Gate,Horror,0,0,0,0,20401898,20401898,20401898,20401898,20401898,20401898,20401898
The Fast and the Furious,Action,0,0,0,0,0,0,169283925,169283925,169283925,169283925,169283925
Enough,Drama,0,0,0,0,0,0,0,13801187,13801187,13801187,13801187
Spy Kids 2: The Island of Lost Dreams,Action,0,0,0,0,0,0,0,81723358,81723358,81723358,81723358
Spy Kids 3-D: Game Over,Action,0,0,0,0,0,0,0,0,159011982,159011982,159011982
Switchback,Action,0,0,-30517805,-30517805,-30517805,-30517805,-30517805,-30517805,-30517805,-30517805,-30517805
Magnolia,Drama,0,0,0,0,11451803,11451803,11451803,11451803,11451803,11451803,11451803
The Princess Diaries,Comedy,0,0,0,0,0,0,128335153,128335153,128335153,128335153,128335153
13 Going on 30,Comedy,0,0,0,0,0,0,0,0,0,59455697,59455697
White Chicks,Comedy,0,0,0,0,0,0,0,0,0,76086475,76086475
Matilda,Comedy,0,-2540584,-2540584,-2540584,-2540584,-2540584,-2540584,-2540584,-2540584,-2540584,-2540584
The People vs. Larry Flynt,Drama,0,-15699615,-15699615,-15699615,-15699615,-15699615,-15699615,-15699615,-15699615,-15699615,-15699615
Breakdown,Drama,0,0,14159144,14159144,14159144,14159144,14159144,14159144,14159144,14159144,14159144
Gattaca,Thriller,0,0,-23467223,-23467223,-23467223,-23467223,-23467223,-23467223,-23467223,-23467223,-23467223
Amistad,Drama,0,0,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000,38000000
Isn't She Great,Drama,0,0,0,0,0,-32996704,-32996704,-32996704,-32996704,-32996704,-32996704
John Q,Drama,0,0,0,0,0,0,0,66244770,66244770,66244770,66244770
A Man Apart,Action,0,0,0,0,0,0,0,0,8350926,8350926,8350926
Winged Migration,Documentary,0,0,0,0,0,0,-15649317,-15649317,-15649317,-15649317,-15649317
Sudden Death,Action,29350171,29350171,29350171,29350171,29350171,29350171,29350171,29350171,29350171,29350171,29350171
Species,Science Fiction,78374103,78374103,78374103,78374103,78374103,78374103,78374103,78374103,78374103,78374103,78374103
The Horseman on the Roof,War,-20000000,-20000000,-20000000,-20000000,-20000000,-20000000,-20000000,-20000000,-20000000,-20000000,-20000000
Donnie Brasco,Crime,0,0,6954997,6954997,6954997,6954997,6954997,6954997,6954997,6954997,6954997
