Country,Longitude,Latitude,World Bank region,Population (2019),Unnamed: 5,Unnamed: 6,Unnamed: 7,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Malawi,33.7703,-13.9899,Sub-Saharan Africa,18628747.0,,,,SUB-SAHARAN AFRICA        ,13013926.0,118480.0,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,2.0,43.13,19.33,342.0,158.0,499.0
Samoa,-171.752,-13.8314,East Asia and Pacific,197097.0,,,,OCEANIA       ,176908.0,2944.0,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,114.0,584.0,302.0
Peru,-77.0465,-12.0931,Latin America & the Caribbean,32510453.0,,,,LATIN AMER. & CARIB   ,28302603.0,1285220.0,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
Comoros,43.2418,-11.6986,Sub-Saharan Africa,850886.0,,,,SUB-SAHARAN AFRICA        ,690948.0,2170.0,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04,0.56
Papua New Guinea,147.194,-9.47357,East Asia and Pacific,8776109.0,,,,OCEANIA       ,5670544.0,462840.0,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2.0,29.36,7.25,353.0,381.0,266.0
Solomon Islands,159.949,-9.42676,East Asia and Pacific,669823.0,,,,OCEANIA       ,552438.0,28450.0,19.4,18.67,0.0,21.29,1700.0,,13.4,0.64,2.0,97.36,2.0,30.01,3.92,0.42,0.11,0.47
Angola,13.242,-8.81155,Sub-Saharan Africa,31825295.0,,,,SUB-SAHARAN AFRICA        ,12127071.0,1246700.0,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,96.0,658.0,246.0
Tuvalu,179.089567,-8.6314877,East Asia and Pacific,11646.0,,,,OCEANIA       ,11810.0,26.0,454.2,92.31,0.0,20.03,1100.0,,59.3,0.0,0.0,100.0,2.0,22.18,7.11,166.0,272.0,562.0
Timor-Leste,125.567,-8.56667,East Asia and Pacific,1293119.0,,,,,,,,,,,,,,,,,,,,,,
Indonesia,106.83,-6.19752,East Asia and Pacific,270625568.0,,,,ASIA (EX. NEAR EAST),245452739.0,1919440.0,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,134.0,458.0,408.0
Tanzania,35.7382,-6.17486,Sub-Saharan Africa,58005463.0,,,,SUB-SAHARAN AFRICA        ,37445392.0,945087.0,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,432.0,172.0,396.0
Seychelles,55.4466,-4.6309,Sub-Saharan Africa,97625.0,,,,SUB-SAHARAN AFRICA        ,81541.0,455.0,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,32.0,304.0,665.0
"Congo, Dem. Rep.",15.3222,-4.325,Sub-Saharan Africa,86790567.0,,,,SUB-SAHARAN AFRICA        ,62660551.0,2345410.0,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,2.0,43.69,13.27,0.55,0.11,0.34
"Congo, Rep.",15.2662,-4.2767,Sub-Saharan Africa,5380508.0,,,,,,,,,,,,,,,,,,,,,,
Burundi,29.3639,-3.3784,Sub-Saharan Africa,11530580.0,,,,SUB-SAHARAN AFRICA        ,8090068.0,27830.0,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,463.0,203.0,334.0
Rwanda,30.0587,-1.95325,Sub-Saharan Africa,12626950.0,,,,SUB-SAHARAN AFRICA        ,8648248.0,26338.0,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,3.0,40.37,16.09,401.0,229.0,0.37
Kenya,36.8126,-1.27975,Sub-Saharan Africa,52573973.0,,,,SUB-SAHARAN AFRICA        ,34707817.0,582650.0,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,163.0,188.0,651.0
Nauru,166.920867,-0.5477,Other,12581.0,,,,OCEANIA       ,13287.0,21.0,632.7,142.86,0.0,9.95,5000.0,,143.0,0.0,0.0,100.0,2.0,24.76,6.7,,,
Ecuador,-78.5243,-0.229498,Latin America & the Caribbean,17373662.0,,,,LATIN AMER. & CARIB   ,13547510.0,283560.0,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,312.0,618.0
Sao Tome and Principe,6.6071,0.20618,Sub-Saharan Africa,215056.0,,,,,,,,,,,,,,,,,,,,,,
Uganda,32.5729,0.314269,Sub-Saharan Africa,44269594.0,,,,SUB-SAHARAN AFRICA        ,28195754.0,236040.0,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,311.0,222.0,469.0
Gabon,9.45162,0.38832,Sub-Saharan Africa,2172579.0,,,,SUB-SAHARAN AFRICA        ,1424906.0,267667.0,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,61.0,592.0,348.0
Singapore,103.85,1.28941,Other,5703569.0,,,,ASIA (EX. NEAR EAST),4492150.0,693.0,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,339.0,661.0
Kiribati,172.979,1.32905,East Asia and Pacific,117606.0,,,,OCEANIA       ,105432.0,811.0,130.0,140.94,0.0,48.52,800.0,,42.7,2.74,50.68,46.58,2.0,30.65,8.26,89.0,242.0,668.0
