GDP ($ per capita),0.489058
NORTHERN AMERICA,0.349488
Phones (per 1000),0.347302
Net migration,0.261355
WESTERN EUROPE,0.188730
Literacy (%),0.133940
Area (sq. mi.),0.097909
Climate,0.072987
Coastline (coast/area ratio),0.051932
Other (%),0.040683
